Time,I(Le),I(L),Vc
0.000644,-6.05042,13.8999,146.772
0.000645,-6.1198,13.9493,146.398
0.000646,-6.1885,13.9986,146.022
0.000647,-6.2565,14.0476,145.643
0.000648,-6.3238,14.0964,145.262
0.000649,-6.39041,14.1449,144.879
0.00065,-6.45631,14.1933,144.493
0.000651,-6.52151,14.2414,144.105
0.000652,-6.586,14.2892,143.714
0.000653,-6.64977,14.3369,143.321
0.000654,-6.71283,14.3843,142.926
0.000655,-6.77517,14.4314,142.529
0.000656,-6.83679,14.4784,142.129
0.000657,-6.89768,14.5251,141.727
0.000658,-6.95785,14.5715,141.323
0.000659,-7.01728,14.6178,140.916
0.00066,-7.07597,14.6638,140.508
0.000661,-7.13393,14.7095,140.097
0.000662,-7.19115,14.755,139.685
0.000663,-7.24762,14.8003,139.27
0.000664,-7.30335,14.8454,138.853
0.000665,-7.35833,14.8901,138.434
0.000666,-7.41255,14.9347,138.012
0.000667,-7.46602,14.979,137.589
0.000668,-7.51873,15.0231,137.164
0.000669,-7.57068,15.0669,136.737
0.00067,-7.62186,15.1104,136.308
0.000671,-7.67707,15.0879,136.154
0.000672,-7.73199,15.0654,136
0.000673,-7.78669,15.0428,135.845
0.000674,-7.84109,15.0203,135.688
0.000675,-7.8952,14.9978,135.531
0.000676,-7.949,14.9753,135.373
0.000677,-8.00251,14.9528,135.213
0.000678,-8.05571,14.9304,135.053
0.000679,-8.10861,14.9079,134.891
0.00068,-8.1612,14.8855,134.728
0.000681,-8.21348,14.863,134.564
0.000682,-8.26546,14.8406,134.4
0.000683,-8.31713,14.8182,134.234
0.000684,-8.36848,14.7958,134.067
0.000685,-8.41953,14.7734,133.899
0.000686,-8.47025,14.751,133.73
0.000687,-8.52067,14.7286,133.56
0.000688,-8.57076,14.7063,133.389
0.000689,-8.62053,14.6839,133.217
0.00069,-8.66999,14.6616,133.045
0.000691,-8.71912,14.6393,132.871
0.000692,-8.76793,14.617,132.696
